,Community Area Number,COMMUNITY AREA NAME,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
49,50,Pullman,21.6,13.1,0.4,12.53,29.24,4.31,0.0,0.4,15.76,4.85,8.08,0.0,0.0,0.0,0.54,0.54,0.54,0.0,4.85,7.01,0.0,2.02,0.0,11.59,0.0,0.13,1.48,2.69,0.27,0.0,31.39,2.02
50,51,South Deering,29.2,21.0,0.18,10.68,21.71,6.66,0.06,0.72,11.87,4.92,6.3,0.0,0.06,0.0,0.6,0.0,0.0,0.12,3.6,6.18,0.0,2.04,0.0,8.52,0.12,0.12,1.38,3.6,0.24,0.12,23.39,1.92
51,52,East Side,19.2,31.9,0.24,4.79,10.34,2.47,0.0,0.2,9.18,1.0,2.4,0.0,0.04,0.0,0.24,0.0,0.16,0.24,1.2,4.55,0.0,1.0,0.0,3.75,0.0,0.0,1.0,1.24,0.24,0.08,7.19,0.96
52,53,West Pullman,25.9,20.5,0.31,9.67,27.08,6.87,0.09,0.5,17.23,1.59,4.91,0.0,0.47,0.0,1.12,0.06,0.19,0.03,4.1,9.33,0.03,1.34,0.0,10.35,0.37,0.0,1.12,4.51,0.31,0.16,18.75,3.7
53,54,Riverdale,56.5,27.5,0.31,22.08,50.54,9.8,0.0,0.47,23.95,7.31,3.42,0.0,0.47,0.0,0.16,0.0,0.0,0.16,7.31,10.42,0.16,2.33,0.0,13.22,0.0,0.0,1.09,6.53,0.31,0.31,19.44,4.51
54,55,Hegewisch,17.1,19.2,0.0,3.87,10.35,2.03,0.0,0.19,6.0,0.77,5.13,0.0,0.0,0.0,0.29,0.0,0.0,0.1,1.16,1.93,0.1,0.68,0.0,4.26,0.0,0.0,0.68,1.06,0.1,0.29,10.35,0.19
55,56,Garfield Ridge,8.8,19.3,0.03,3.6,7.07,3.3,0.12,0.38,9.08,1.03,5.01,0.0,0.12,0.0,0.03,0.0,0.06,0.06,1.95,3.66,0.0,0.35,0.0,3.48,0.83,0.0,0.68,0.94,0.15,0.0,11.94,0.47
56,57,Archer Heights,14.1,35.9,0.08,5.3,13.2,5.45,0.0,0.46,10.98,0.92,3.91,0.0,0.08,0.0,0.15,0.08,0.38,0.08,4.22,3.22,0.0,0.61,0.0,4.07,0.38,0.0,1.3,3.3,0.31,0.08,16.89,0.84
57,58,Brighton Park,23.6,45.1,0.25,3.39,12.31,3.14,0.0,0.2,7.78,0.78,2.42,0.0,0.11,0.0,0.43,0.0,0.04,0.16,3.81,6.86,0.02,0.96,0.0,4.04,1.41,0.0,0.49,2.38,0.22,0.07,9.35,0.9
58,59,McKinley Park,18.7,32.9,0.19,4.64,10.02,2.69,0.0,0.31,10.28,1.0,2.94,0.0,0.06,0.0,0.19,0.0,0.13,0.0,3.95,6.01,0.06,0.5,0.0,2.94,0.13,0.0,0.75,2.38,0.19,0.06,17.61,0.63
