,Primary Type,Community Area,Year,Latitude,Longitude
787227,HOMICIDE,68,2015,41.790141834,-87.64991286899999
787313,HOMICIDE,67,2015,41.792321579,-87.656534454
787393,HOMICIDE,21,2015,41.932723985,-87.691586431
787469,HOMICIDE,66,2015,41.764450345,-87.698320777
787541,HOMICIDE,43,2015,41.771096902,-87.57643491299999
787618,HOMICIDE,67,2015,41.763864124,-87.676542751
787707,HOMICIDE,69,2015,41.769232736999996,-87.620944418
787778,HOMICIDE,40,2015,41.788410913,-87.615825885
787844,HOMICIDE,68,2015,41.766637378,-87.637182455
787916,HOMICIDE,67,2015,41.7750266,-87.665364618
788002,HOMICIDE,71,2015,41.751436547,-87.674386315
788072,HOMICIDE,22,2015,41.91392608,-87.695040991
788159,HOMICIDE,46,2015,41.742684668,-87.563141378
788235,HOMICIDE,18,2015,41.921199662,-87.792007111
788315,HOMICIDE,75,2015,41.68814117,-87.643462515
788398,HOMICIDE,69,2015,41.76389472,-87.61471722
788570,HOMICIDE,44,2015,41.733496394,-87.60474644600001
788662,HOMICIDE,53,2015,41.677244043,-87.62864027299999
788750,HOMICIDE,3,2015,41.96416436,-87.65668227399999
788837,HOMICIDE,23,2015,41.900039997,-87.72378279
788910,HOMICIDE,24,2015,41.895681406,-87.692890346
788983,HOMICIDE,30,2015,41.848848115,-87.69290624899999
789065,HOMICIDE,19,2015,41.930801083,-87.751478832
789142,HOMICIDE,19,2015,41.930801083,-87.751478832
789228,HOMICIDE,73,2015,41.708145189,-87.65137896600001
789305,HOMICIDE,42,2015,41.784744,-87.615738439
789384,HOMICIDE,38,2015,41.816485491,-87.6265473
789463,HOMICIDE,43,2015,41.76366232,-87.579311694
789539,HOMICIDE,29,2015,41.855574302,-87.71189003
789619,HOMICIDE,43,2015,41.762385622,-87.58932208600001
789700,HOMICIDE,66,2015,41.765888079,-87.68939559399999
789782,HOMICIDE,49,2015,41.724650968,-87.62752904700001
789870,HOMICIDE,59,2015,41.831181589,-87.67897394200001
790043,HOMICIDE,27,2015,41.872682099,-87.713942029
790130,HOMICIDE,54,2015,41.65496118,-87.608534028
790377,HOMICIDE,61,2015,41.805765181999995,-87.67340443399999
790463,HOMICIDE,28,2015,41.866126984,-87.65764362799999
790610,HOMICIDE,3,2015,41.971125877,-87.648264775
790696,HOMICIDE,44,2015,41.748270051,-87.63181445299999
790775,HOMICIDE,43,2015,41.758705721,-87.59275119600001
790861,HOMICIDE,71,2015,41.749630493000005,-87.651291874
790935,HOMICIDE,29,2015,41.866996922,-87.73114209
791087,HOMICIDE,29,2015,41.866996922,-87.73114209
791165,HOMICIDE,66,2015,41.777159455,-87.702352906
791426,HOMICIDE,2,2015,41.995332628,-87.686131356
791494,HOMICIDE,68,2015,41.766178742,-87.648081529
791590,HOMICIDE,68,2015,41.76268665,-87.645560247
791667,HOMICIDE,69,2015,41.759409623,-87.60541734700001
791746,HOMICIDE,46,2015,41.743297474,-87.54665581399999
791824,HOMICIDE,3,2015,41.968197047,-87.65926140299999
791911,HOMICIDE,25,2015,41.90040965,-87.75656311700001
792059,HOMICIDE,49,2015,41.699802541,-87.629100771
792150,HOMICIDE,49,2015,41.699802541,-87.629100771
792232,HOMICIDE,67,2015,41.776697412,-87.6738345
792321,HOMICIDE,28,2015,41.864273203,-87.66020727799999
792580,HOMICIDE,70,2015,41.738869436,-87.700588072
792656,HOMICIDE,66,2015,41.779228314,-87.68019531600001
792731,HOMICIDE,57,2015,41.80549527,-87.72596353200001
793204,HOMICIDE,21,2015,41.940939441,-87.72523120700001
793275,HOMICIDE,46,2015,41.742653123000004,-87.551562764
793354,HOMICIDE,24,2015,41.909820423,-87.67124264
793442,HOMICIDE,60,2015,41.837861963,-87.65965477799999
793530,HOMICIDE,28,2015,41.862535492,-87.65219317200001
793616,HOMICIDE,25,2015,41.880912591,-87.75508602
793700,HOMICIDE,14,2015,41.967244668,-87.70721337799999
793785,HOMICIDE,46,2015,41.750779238,-87.582877986
793874,HOMICIDE,67,2015,41.782259223000004,-87.670345664
793962,HOMICIDE,27,2015,41.88360497,-87.707501835
794052,HOMICIDE,23,2015,41.902800026,-87.70985641200001
794135,HOMICIDE,39,2015,41.814017834,-87.60666652
794211,HOMICIDE,16,2015,41.95675242,-87.72279779799999
794290,HOMICIDE,35,2015,41.828743353,-87.62419264399999
794362,HOMICIDE,25,2015,41.892234406,-87.749474726
794432,HOMICIDE,36,2015,41.826375628,-87.611945922
794522,HOMICIDE,62,2015,41.792410804,-87.71470444
794580,HOMICIDE,62,2015,41.792410804,-87.71470444
794634,HOMICIDE,3,2015,41.969820278,-87.65623630799999
794712,HOMICIDE,6,2015,41.935389593000004,-87.652679121
794787,HOMICIDE,31,2015,41.85802838,-87.651092033
794866,HOMICIDE,30,2015,41.852670071999995,-87.69424090000001
794952,HOMICIDE,44,2015,41.734546986999995,-87.62307913
795031,HOMICIDE,25,2015,41.883508815999996,-87.74538979299999
795122,HOMICIDE,25,2015,41.886834297,-87.749046475
795215,HOMICIDE,23,2015,41.894337211999996,-87.721155793
795302,HOMICIDE,43,2015,41.770621253,-87.58257344100001
795387,HOMICIDE,26,2015,41.882519264,-87.728172413
795469,HOMICIDE,1,2015,42.013859865,-87.66905337899999
795557,HOMICIDE,47,2015,41.724092475999996,-87.591580972
795635,HOMICIDE,53,2015,41.67217274,-87.654207497
795719,HOMICIDE,30,2015,41.848977129,-87.69291230299999
795800,HOMICIDE,34,2015,41.82618602,-87.63139377
796034,HOMICIDE,73,2015,41.726198425999996,-87.650638587
796113,HOMICIDE,63,2015,41.791147759,-87.68521547799999
796196,HOMICIDE,60,2015,41.835613582,-87.65022194
796274,HOMICIDE,66,2015,41.779020474,-87.699929557
796347,HOMICIDE,76,2015,41.981043015,-87.840162775
796406,HOMICIDE,38,2015,41.817686328,-87.618378979
796477,HOMICIDE,49,2015,41.699802541,-87.629100771
796557,HOMICIDE,25,2015,41.900428297,-87.754814476
796634,HOMICIDE,68,2015,41.760773578,-87.645511035
796717,HOMICIDE,61,2015,41.813551593,-87.671174895
797135,HOMICIDE,58,2015,41.816040159,-87.70428986
797220,HOMICIDE,1,2015,42.020809541,-87.670721771
797309,HOMICIDE,3,2015,41.962993658,-87.655933554
797395,HOMICIDE,25,2015,41.89764948,-87.75940889700001
797475,HOMICIDE,44,2015,41.750322112,-87.603940546
797551,HOMICIDE,27,2015,41.880905236,-87.71216242
797643,HOMICIDE,29,2015,41.86187256,-87.716505967
797736,HOMICIDE,29,2015,41.854356979,-87.728551754
797817,HOMICIDE,3,2015,41.96230433,-87.66097808100001
797902,HOMICIDE,44,2015,41.75076821,-87.607647841
797972,HOMICIDE,42,2015,41.774089562,-87.60943799200001
798042,HOMICIDE,44,2015,41.749797723,-87.624512495
798122,HOMICIDE,46,2015,41.742254681999995,-87.56122646700001
798205,HOMICIDE,23,2015,41.902572053,-87.73246829799999
798282,HOMICIDE,25,2015,41.883264252,-87.76661413299999
798444,HOMICIDE,69,2015,41.758047375,-87.60049949299999
798521,HOMICIDE,35,2015,41.831073285,-87.62021144100001
798605,HOMICIDE,69,2015,41.758069413,-87.634878071
798684,HOMICIDE,29,2015,41.861972438,-87.71773114
798768,HOMICIDE,77,2015,41.989958168,-87.67050846299999
798844,HOMICIDE,61,2015,41.811531219,-87.66869767899999
798911,HOMICIDE,43,2015,41.76182216,-87.59088269600001
798985,HOMICIDE,49,2015,41.713770588,-87.623655857
799065,HOMICIDE,63,2015,41.801060676999995,-87.6897074
799157,HOMICIDE,22,2015,41.91629263,-87.692269133
799327,HOMICIDE,26,2015,41.872459213,-87.73347372799999
799406,HOMICIDE,75,2015,41.691307675,-87.660043802
799481,HOMICIDE,29,2015,41.858954299000004,-87.716809329
799556,HOMICIDE,54,2015,41.655895809,-87.594980408
799625,HOMICIDE,30,2015,41.841916851,-87.726918365
799709,HOMICIDE,73,2015,41.727527094,-87.662827263
799787,HOMICIDE,61,2015,41.805824145,-87.663676702
799871,HOMICIDE,38,2015,41.815751294,-87.618327133
799953,HOMICIDE,43,2015,41.756330319,-87.55271620399999
800034,HOMICIDE,71,2015,41.733162723,-87.659339424
800109,HOMICIDE,71,2015,41.733162723,-87.659339424
800193,HOMICIDE,14,2015,41.962126133000005,-87.713172111
800285,HOMICIDE,48,2015,41.727043910999996,-87.58669674299999
800374,HOMICIDE,29,2015,41.867608045,-87.698376638
800458,HOMICIDE,23,2015,41.901427038,-87.725044239
800545,HOMICIDE,46,2015,41.749321118000005,-87.571069245
800633,HOMICIDE,43,2015,41.751613063,-87.575285908
800712,HOMICIDE,23,2015,41.893709795,-87.708101045
800779,HOMICIDE,44,2015,41.748835188,-87.61490718600001
800860,HOMICIDE,61,2015,41.799031303,-87.64406418700001
800936,HOMICIDE,42,2015,41.774921124,-87.588832615
801013,HOMICIDE,69,2015,41.757649233,-87.607815887
801097,HOMICIDE,69,2015,41.770215063,-87.626699872
801170,HOMICIDE,25,2015,41.878244691,-87.754988896
801259,HOMICIDE,43,2015,41.754824938,-87.56265541100001
801348,HOMICIDE,42,2015,41.78046301,-87.601399238
801435,HOMICIDE,46,2015,41.742883417,-87.549515319
801521,HOMICIDE,30,2015,41.847670913,-87.706351061
801608,HOMICIDE,19,2015,41.923694334000004,-87.78452659
801681,HOMICIDE,25,2015,41.888656952,-87.749140044
801769,HOMICIDE,25,2015,41.904323426,-87.75830218600001
801929,HOMICIDE,16,2015,41.947526838,-87.715192046
802002,HOMICIDE,2,2015,41.99969642,-87.680892445
802087,HOMICIDE,16,2015,41.965248951999996,-87.73856815
802170,HOMICIDE,16,2015,41.965248951999996,-87.73856815
802412,HOMICIDE,29,2015,41.867262482,-87.71399434700001
802516,HOMICIDE,69,2015,41.758903325,-87.63572301299999
802599,HOMICIDE,23,2015,41.890358524,-87.722273552
802680,HOMICIDE,1,2015,42.01656745,-87.67412926700001
802765,HOMICIDE,40,2015,41.78690669,-87.625500912
802850,HOMICIDE,29,2015,41.865108577,-87.73370765
802939,HOMICIDE,25,2015,41.888659323,-87.749066571
803003,HOMICIDE,69,2015,41.762318316999995,-87.59762123899999
803101,HOMICIDE,23,2015,41.892603611999995,-87.722329283
803188,HOMICIDE,23,2015,41.892603611999995,-87.722329283
803274,HOMICIDE,46,2015,41.747587631,-87.55767394799999
803363,HOMICIDE,30,2015,41.839629644,-87.72928862
803527,HOMICIDE,28,2015,41.876329051,-87.668276406
803617,HOMICIDE,44,2015,41.743299025,-87.602579976
803957,HOMICIDE,53,2015,41.676298724,-87.616014618
804363,HOMICIDE,46,2015,41.733083674,-87.549942225
804454,HOMICIDE,25,2015,41.905072512,-87.746889161
804548,HOMICIDE,53,2015,41.680888376999995,-87.62638210600001
804628,HOMICIDE,36,2015,41.81648957,-87.59491421799999
804692,HOMICIDE,26,2015,41.874370513,-87.724335186
804755,HOMICIDE,67,2015,41.756927283,-87.673322259
804825,HOMICIDE,25,2015,41.901558034000004,-87.76563324600001
804901,HOMICIDE,75,2015,41.696746452,-87.655757884
805049,HOMICIDE,49,2015,41.695615505999996,-87.636436642
805125,HOMICIDE,49,2015,41.695615505999996,-87.636436642
805206,HOMICIDE,53,2015,41.68157034,-87.61949970399999
805289,HOMICIDE,67,2015,41.777216063000004,-87.662925863
805381,HOMICIDE,61,2015,41.81504317,-87.66999665799999
805463,HOMICIDE,28,2015,41.863459158000005,-87.652462374
805535,HOMICIDE,29,2015,41.859777475,-87.73232212200001
805626,HOMICIDE,29,2015,41.864663432,-87.71293275299999
805722,HOMICIDE,54,2015,41.657215826999995,-87.603140417
805810,HOMICIDE,49,2015,41.724958867,-87.630302412
805891,HOMICIDE,58,2015,41.808923611,-87.68444211299999
805961,HOMICIDE,32,2015,41.876856607,-87.63329605700001
806036,HOMICIDE,27,2015,41.88747417,-87.716087141
806123,HOMICIDE,26,2015,41.878823468,-87.72934928299999
806211,HOMICIDE,67,2015,41.786054484,-87.66559116399999
806296,HOMICIDE,67,2015,41.789830022,-87.66690508100001
806368,HOMICIDE,29,2015,41.858029355999996,-87.722434585
806430,HOMICIDE,26,2015,41.879807596999996,-87.721889369
806504,HOMICIDE,26,2015,41.875163473,-87.733698124
806582,HOMICIDE,29,2015,41.858029355999996,-87.722434585
806661,HOMICIDE,69,2015,41.759110864,-87.63329808
806743,HOMICIDE,22,2015,41.930545187,-87.717156771
806832,HOMICIDE,8,2015,41.905651436999996,-87.64731577799999
806993,HOMICIDE,26,2015,41.871674253,-87.72148957899999
807076,HOMICIDE,56,2015,41.797380337,-87.767323748
807158,HOMICIDE,58,2015,41.819685484000004,-87.701957617
807236,HOMICIDE,23,2015,41.908973017,-87.72284917799999
807313,HOMICIDE,25,2015,41.898954812,-87.748348292
807400,HOMICIDE,63,2015,41.788363519,-87.68543053200001
807491,HOMICIDE,43,2015,41.769074527,-87.566528191
807569,HOMICIDE,23,2015,41.902818046,-87.73123173
807638,HOMICIDE,39,2015,41.803950638,-87.59187828799999
807709,HOMICIDE,25,2015,41.901788399999994,-87.745960471
807792,HOMICIDE,49,2015,41.698517258,-87.62805289
